,tconst,primary_title,runtime_minutes,genres,release_date,production_budget,domestic_gross,worldwide_gross,total_profit
518,tt6857166,Book Club,104.0,"Comedy,Drama,Romance","May 18, 2018",10000000,68566296,91113683,81113683
519,tt3591950,Fantasia,86.0,Drama,"Nov 13, 1940",2280000,83320000,83320000,81040000
521,tt2555736,The Second Best Exotic Marigold Hotel,122.0,"Comedy,Drama","Mar 6, 2015",10000000,33078266,90384306,80384306
523,tt2140373,Saving Mr. Banks,125.0,"Biography,Comedy,Drama","Dec 13, 2013",35000000,83299761,114962525,79962525
525,tt5846676,The Saint,96.0,Drama,"Apr 4, 1997",90000000,61363304,169400000,79400000
526,tt5083738,The Favourite,119.0,"Biography,Drama,History","Nov 23, 2018",15000000,34366783,94113929,79113929
527,tt0881320,Sanctum,108.0,"Adventure,Drama,Thriller","Feb 4, 2011",30000000,23209310,108957098,78957098
529,tt1067583,Water for Elephants,120.0,"Drama,Romance","Apr 22, 2011",38000000,58709717,116809717,78809717
530,tt1037705,The Book of Eli,118.0,"Action,Adventure,Drama","Jan 15, 2010",80000000,94835059,158750817,78750817
531,tt6450186,I Can Only Imagine,110.0,"Biography,Drama,Family","Mar 16, 2018",7000000,83482352,85604221,78604221
532,tt2241035,The Color Purple,97.0,"Action,Drama","Dec 18, 1985",15000000,93589701,93589701,78589701
533,tt7349662,BlacKkKlansman,135.0,"Biography,Crime,Drama","Aug 10, 2018",15000000,49275340,93017335,78017335
534,tt7040874,A Simple Favor,117.0,"Comedy,Crime,Drama","Sep 14, 2018",20000000,53548586,97628717,77628717
535,tt1598778,Contagion,106.0,"Action,Drama,Thriller","Sep 9, 2011",60000000,75658097,137551594,77551594
536,tt1825801,Hostel,111.0,"Action,Crime,Drama","Jan 6, 2006",4800000,47326473,82241110,77441110
537,tt2194499,About Time,123.0,"Comedy,Drama,Fantasy","Nov 1, 2013",12000000,15323921,89309178,77309178
538,tt2873282,Red Sparrow,140.0,"Action,Drama,Thriller","Mar 2, 2018",69000000,46874505,145951861,76951861
543,tt6376046,Stripes,85.0,Drama,"Jun 26, 1981",10000000,85300000,85300000,75300000
546,tt1856101,Blade Runner 2049,164.0,"Drama,Mystery,Sci-Fi","Oct 6, 2017",185000000,92054159,259357408,74357408
548,tt2529924,The Strangers,,"Action,Drama,Horror","May 30, 2008",9000000,52597610,83051676,74051676
551,tt6472976,Five Feet Apart,116.0,"Drama,Romance","Mar 15, 2019",7000000,45729221,80504421,73504421
552,tt3622592,Paper Towns,109.0,"Comedy,Drama,Mystery","Jul 24, 2015",12000000,32000304,85450484,73450484
553,tt1524137,Contraband,109.0,"Action,Crime,Drama","Jan 13, 2012",25000000,66528000,98406855,73406855
556,tt2304933,The 5th Wave,112.0,"Action,Adventure,Drama","Jan 22, 2016",38000000,34912982,111336398,73336398
558,tt4361050,Ouija: Origin of Evil,99.0,"Drama,Horror,Mystery","Oct 21, 2016",9000000,35144505,81831866,72831866
559,tt7368554,The Interpreter,113.0,"Comedy,Drama","Apr 22, 2005",90000000,72708161,162753837,72753837
560,tt1294226,The Last Song,107.0,"Drama,Music,Romance","Mar 31, 2010",20000000,62950384,92678948,72678948
561,tt2072962,The Client,123.0,"Drama,Thriller","Jul 20, 1994",45000000,92115211,117615211,72615211
563,tt2980648,The Hundred-Foot Journey,122.0,"Comedy,Drama","Aug 8, 2014",22000000,54235441,94270488,72270488
564,tt7785302,Spotlight,99.0,Drama,"Nov 6, 2015",20000000,45055776,92088460,72088460
565,tt1068242,Footloose,113.0,"Comedy,Drama,Music","Feb 17, 1984",8200000,80000000,80000000,71800000
566,tt7401588,Instant Family,118.0,"Comedy,Drama","Nov 16, 2018",48000000,67363237,119736188,71736188
567,tt1327194,The Lucky One,101.0,"Drama,Romance","Apr 20, 2012",25000000,60457138,96633833,71633833
571,tt1205537,Jack Ryan: Shadow Recruit,105.0,"Action,Drama,Thriller","Jan 17, 2014",60000000,50577412,131377412,71377412
573,tt3832914,War Room,120.0,Drama,"Aug 28, 2015",3000000,67790117,73975239,70975239
577,tt1591479,Act of Valor,110.0,"Action,Adventure,Drama","Feb 24, 2012",12000000,70012847,82497035,70497035
579,tt8107598,Earth,86.0,Drama,"Apr 22, 2009",47000000,32011576,116773317,69773317
583,tt4034228,Manchester by the Sea,137.0,Drama,"Nov 18, 2016",8500000,47695371,77733867,69233867
585,tt1389137,We Bought a Zoo,124.0,"Comedy,Drama,Family","Dec 23, 2011",50000000,75624550,118729073,68729073
586,tt4925292,Lady Bird,94.0,"Comedy,Drama","Nov 3, 2017",10000000,48958273,78610769,68610769
587,tt1320244,The Last Exorcism,87.0,"Drama,Horror,Thriller","Aug 27, 2010",1800000,41034350,70165900,68365900
589,tt1282140,Easy A,92.0,"Comedy,Drama,Romance","Sep 17, 2010",8000000,58401464,76200721,68200721
591,tt1055292,Life as We Know It,114.0,"Comedy,Drama,Romance","Oct 8, 2010",38000000,53374681,105887837,67887837
592,tt3506476,The Golden Child,86.0,Drama,"Dec 12, 1986",12000000,79817937,79817937,67817937
593,tt2066051,Rocketman,121.0,"Biography,Drama,Music","May 31, 2019",41000000,57342725,108642725,67642725
594,tt5889398,Insomnia,,Drama,"May 24, 2002",46000000,67263182,113622499,67622499
595,tt1392214,Prisoners,153.0,"Crime,Drama,Mystery","Sep 20, 2013",46000000,61002302,113402302,67402302
596,tt1355630,If I Stay,107.0,"Drama,Fantasy,Music","Aug 22, 2014",11000000,50474843,78356170,67356170
600,tt2286560,Frankenstein,82.0,"Drama,Horror","Nov 4, 1994",45000000,22006296,112006296,67006296
604,tt0453562,42,128.0,"Biography,Drama,Sport","Apr 12, 2013",31000000,95020213,97470701,66470701
605,tt2241351,Money Monster,98.0,"Crime,Drama,Thriller","May 13, 2016",27000000,41012075,93466095,66466095
606,tt6593054,Drive,147.0,"Action,Crime,Drama","Sep 16, 2011",15000000,35060689,81357930,66357930
607,tt1702439,Safe Haven,115.0,"Drama,Romance,Thriller","Feb 14, 2013",28000000,71399120,94050951,66050951
611,tt3107798,Rambo,144.0,"Comedy,Drama,Thriller","Jan 25, 2008",47500000,42754105,112214531,64714531
614,tt1798684,Southpaw,124.0,"Drama,Sport","Jul 24, 2015",30000000,52421953,94156456,64156456
620,tt4832640,Sultan,170.0,"Action,Drama,Sport","Jul 6, 2016",11000000,5599781,72989781,61989781
622,tt1196141,Diary of a Wimpy Kid,94.0,"Comedy,Drama,Family","Mar 19, 2010",15000000,64003625,76954311,61954311
624,tt1210166,Moneyball,133.0,"Biography,Drama,Sport","Sep 23, 2011",50000000,75605492,111300835,61300835
626,tt2504404,Wolf,122.0,"Crime,Drama,Thriller","Jun 17, 1994",70000000,65011757,131011757,61011757
627,tt1945037,Begin Again,68.0,"Drama,Family","Jun 27, 2014",8000000,16170632,68838736,60838736
628,tt4257926,Miracles from Heaven,109.0,"Biography,Drama,Family","Mar 16, 2016",13000000,61705123,73798736,60798736
629,tt1340800,Tinker Tailor Soldier Spy,122.0,"Drama,Mystery,Thriller","Dec 9, 2011",21000000,24149393,81452811,60452811
631,tt1161864,The Rite,114.0,"Drama,Horror,Mystery","Jan 28, 2011",37000000,33047633,97143987,60143987
632,tt7784604,Hereditary,127.0,"Drama,Horror,Mystery","Jun 8, 2018",10000000,44069456,70133905,60133905
640,tt1564349,Dolphin Tale,113.0,"Drama,Family","Sep 23, 2011",37000000,72286779,96068724,59068724
641,tt4746516,Orphan,111.0,Drama,"Jul 24, 2009",20000000,41596251,78769428,58769428
642,tt1212419,Hereafter,129.0,"Drama,Fantasy,Romance","Oct 15, 2010",50000000,32746941,108660270,58660270
644,tt2177672,Casino,,Drama,"Nov 22, 1995",52000000,42438300,110400000,58400000
647,tt2638144,Ben-Hur,123.0,"Action,Adventure,Drama","Nov 18, 1959",15000000,73000000,73259017,58259017
648,tt2443822,The Boy,105.0,"Drama,Horror,Thriller","Jan 22, 2016",10000000,35819556,68220952,58220952
651,tt0498381,Rings,102.0,"Drama,Horror,Mystery","Feb 3, 2017",25000000,27793018,82917283,57917283
652,tt1219827,Ghost in the Shell,107.0,"Action,Drama,Sci-Fi","Mar 31, 2017",110000000,40563557,167910690,57910690
