,primary_title,runtime_minutes,genres_x,release_date,production_budget,domestic_gross,worldwide_gross,total_profit,content_rating,directors,actors
345,Nebraska,115.0,"Adventure,Comedy,Drama","Nov 15, 2013",12000000,17654912,24761360,12761360,R,Alexander Payne,"Bruce Dern, Will Forte, June Squibb, Bob Odenkirk, Stacy Keach, Devin Ratray, Missy Doty, Rance Howard, Kevin Kunkel, Angela McEwan, Anthony Schmidt, Melinda Simonsen, Ronald Vosta, Mary Louise Wilson"
346,Norm of the North,90.0,"Adventure,Animation,Comedy","Jan 15, 2016",18000000,17062499,30535660,12535660,PG,Trevor Wall,"Rob Schneider, Heather Graham, Bill Nighy, Gabriel Iglesias, Loretta Devine, Colm Meaney, Zachary Gordon, Jess Harnell, Debi Derryberry, Kate Higgins, Charlie Adler, Janet Varney, Michael McElhatton, Salome Jens, Keith Ferguson, Ben Diskin, Rick D. Wasserman, G.K. Bowes, Mikey Kelley, Rove McManus, Julia Max, Dan Gordon, Nick Shakoour, Eric Price, Ken Jeong, Maya Kay, Emily Polydoros, Max Spitz"
347,Ramona and Beezus,103.0,"Adventure,Comedy,Family","Jul 23, 2010",15000000,26167002,27469621,12469621,G,Elizabeth Allen,"Joey King, Selena Gomez, John Corbett, Bridget Moynahan, Ginnifer Goodwin, Josh Duhamel, Jason Spevack, Sierra McCormick, Sandra Oh, Kathryn Zenna, Janet Wright, Ruby Curtis, Hutch Dano, Patti Allan, D. Garnet Harding, Daniel Vasquez, Andrew McNee, Tom Pickett, Lynda Boyd, Dace Norman, George C. Wolfe, Nancy Robertson, Calista Bashuk, Eileen Barrett, Donnelly Rhodes, Ian Bruce Thompson, Brandi Alexander, Aila McCubbing, Zanti McCubbing, Miller"
348,Eighth Grade,93.0,"Comedy,Drama","Jul 13, 2018",2000000,13539710,14341016,12341016,R,Bo Burnham,"Elsie Fisher, Josh Hamilton, Emily Robinson, Jake Ryan, Missy Yager, Daniel Zolghadri"
349,The Dressmaker,119.0,"Comedy,Drama","Sep 23, 2016",11900000,2022115,24041617,12141617,R,Jocelyn Moorhouse,"Kate Winslet, Liam Hemsworth, Hugo Weaving, Sarah Snook, Judy Davis, Caroline Goodall, Julia Blake, Shane Jacobson, Kerry Fox, Rebecca Gibney, James MacKay, Gyton Grantley, Barry Otto, Sacha Horler, Hayley Magnus, Alison Whyte, Shane Bourne, Olivia Sprague, Geneviève Lemon, Tracy Harvey, Simon Maiden, Terry Norris, Rory Potter, Darcey Wilson, Mark Leonard Winter, Amanda Woodhams, Ed McSwiney, Stan Leman, Madeleine Hogan, Sage Barreda, Eric Beach, Caroline Lee, Gregory Quinn, Geneviève Picot, Margot Knight, Fletcher Humphrys, Lucy Moir, Grace Rosebirch, Alex DeVos, Jason Buckley, Katia Nizic, Spike Hogan, Roy Barker, Judah Hobbs, Lanie Lane, Sandra Talty, Howard Cairns, Malcolm Cole, Simon Farrow, Richard Anastasios, Mike Snow, Adrienne Pickering, Charlotte Friels"
350,The Watch,102.0,"Action,Comedy,Horror","Jul 27, 2012",55000000,34353000,67130045,12130045,R,Akiva Schaffer,"Jonah Hill, Ben Stiller, Richard Ayoade, Rosemarie DeWitt, Will Forte, Nicholas Braun, Doug Jones, Mel Rodriguez, Erin Moriarty (II), R. Lee Ermey, Joseph A. Nuñez, Liz Cackowski, Johnny Pemberton, Billy Crudup, Sharon Gee, Eric Lee Goins, Robert C. Sibley, Grace Fronebarger, Bonnie Silver, Jill Jane Clements, Paul Barlow, Jr., Thomas Elliott, Sean Robert Goulding, Amy Napier Viteri, Dax Flame, Ryan Girard, Katie Kneeland, Ted Huckabee, Jeremiah ""J.J."" Williams Jr., Ethan Shapanka, Marla Malcom, Marla Malcolm, Lindsey Coley, LaDonna Allison, Andy Samberg, Jorma Taccone, Akiva Schaffer, Cathy Shim, Carissa Capobianco, Kelsey Talley, Melia Talley, Patricia French, Erinn Hayes, Zack Mines, Emily Yuye Sikes, Vince Vaughn, Tim Davies"
351,Copycat,90.0,Comedy,"Oct 27, 1995",20000000,32051917,32051917,12051917,R,Jon Amiel,"Sigourney Weaver, Holly Hunter, Dermot Mulroney, William McNamara, Will Patton, John Rothman, J.E. Freeman, Harry Connick Jr., Shannon O'Hurley, Bob Greene, Tony Haney, Danny Kovacs, Tahmus Rounds, Scott DeVenney, David Michael Silverman, Diane Amos, Richard Conti, Nick Scoggin, Bert Kinyon, Dennis Richmond, Rob Nilsson, Kenny Kwong, Christopher Beale, Charles Branklyn, Kelly De Martino, Terry Brown, Corie Henninger, Bill Bonham, Kathleen Stefano, Chris Beale, Scott W. de Venney, Hansford Prince, Don West, Jay Jacobus, John Charles Morris, Keith Phillips, Johnetta Shearer, Ron Kaell, Kelvin Han Yee, James Cunningham, Rebecca Jane Klingler, Victor Talmadge, Brian Keith Russell, Damon Lawner, Russ Christoff, Doug Morrisson, Edith Bryson, Doug Morrison, Jeni Chua, William Oates, Lee Kopp, Thomas J. Fieweger, Floyd Gale Holland, Anthony Moore, Stephanie Ann Smith, S.J. Spinali, Katherine Fitzhugh, Robert Benscoter, Arlon G. Greene, Stuart W. Yee, Vincenetta Gunn, David Ferguson, Donald West, Eleva Singleton, Gena Bingham"
352,Going the Distance,65.0,Comedy,"Sep 3, 2010",32000000,17804299,43603990,11603990,R,Mark Griffiths,"Christopher Jacot, Shawn Roberts, Ryan Belleville, Joanne Kelly, Mayko Nguyen, Jason Priestley, Matt Frewer, Katheryn Winnick, August Schellenberg, Jackie Burroughs, Andrew Airlie, Lynda Boyd, Jay Brazeau, Andy Jones, Christie Laing, Miles Meadows, Devin Douglas Drewitz, Avril Lavigne"
353,Going the Distance,65.0,Comedy,"Sep 3, 2010",32000000,17804299,43603990,11603990,R,Nanette Burstein,"Drew Barrymore, Justin Long, Charlie Day, Jason Sudeikis, Christina Applegate, Ron Livingston, Oliver Jackson-Cohen, Jim Gaffigan, Natalie Morales, Kelli Garner, June Diane Raphael, Rob Riggle, Sarah Burns, Terry Beaver, Matt Servitto, Leighton Meester, Tuffy Questell, Charlie Hewson, Taylor Schwencke, Mike Birbiglia, Meredith Hagner, Benita Robledo, Stink Fisher, Kristen Schaal, Graham Davie, Zach Page, Mick Hazen, Sean Gustavus Tarjyoto, David Bologna, Cass Bugge, Sandie Rosa, Adam Harrison, Piers Hewitt, Todd Howe, Nathan Nicholson, Samantha Futerman, Natalie Knepp, Happy Anderson, Sondra James, Maya Morris, Jennifer Bronstein, Maria Conte Di Angelis, Maria Conte Di Angeles, Ethan F. Hamburg, Anna Gorecky, Josephine-Dana April Micari, Loretta Fox, Carole Raphaelle Davis, Ron Bottitta"
354,The Sapphires,103.0,"Biography,Comedy,Drama","Mar 22, 2013",9000000,2450867,20395040,11395040,PG-13,Wayne Blair,"Chris O'Dowd, Deborah Mailman, Jessica Mauboy, Shari Sebbens, Miranda Tapsell, Tory Kittles, Eka Darville, Kylie Belling, Lynette Narkle, Gregory J. Fryer, Donald Battee, TJ Power, Tanika Lonesborough, Miah Madden, Nioka Brennan, Tammy Anderson, Ava Jean Miller-Porter, Koby Murray, Hunter Page-Lochard, Hunter Paige-Lochard, Meyne Wyatt, Judith Lucy, Tom Whitechurch, Annette Hodgson, Georgina Haig, Barry Southgate, Rhys Muldoon, A. Spencer Davis, Rodney Todd, Eric Rasmussen, Julian Bel Bachir, Amy Miller Porer, Clarence Thane, Merelyn Anderson, Kim Quyen, Hai Thao, Hoang Hiep, Cleave Williams, Martin Farrugia, Ben Rodgers, Jasper Sarkodee, Stuart Christie, Quan Tran, Wayne McDaniel, Beau Brady, Sam North"
355,Dope,103.0,"Comedy,Crime,Drama","Jun 19, 2015",7000000,17506470,18190831,11190831,R,Rick Famuyiwa,"Shameik Moore, Kiersey Clemons, Tony Revolori, ASAP Rocky, Zoë Kravitz, Chanel Iman, Blake Anderson, LaKeith Stanfield, Roger Guenveur Smith, Tyga, De'aundre Bonds, Rakim Mayers, Quincy Brown, Kimberly Elise, Bruce Beatty, Casey Veggies, Christopher Glenn Wilson, Rick Fox, Ricky Harris, Wyking Jones, Amin Joseph, Kap G, Allen Maldonado, Josh Meyer, Mimi Michaels, Ashton Moio, Lidia Porto, Simmie Sims, Vince Staples, Milton TJ Taylor, Forest Whitaker, Julian Brand, Alex Urbom"
